node_id,timestamp,latitude,longitude,temperature_c,humidity_pct,surface_temp_c,smoke_index,co_ppm,voc_index,wind_speed_kmh,wind_direction_deg,fire_risk,is_fire_event,battery_pct,signal_rssi
NODE_000,2020-06-01T00:00:00+00:00,51.06339,-94.91975,26.52,60.37,30.85,0.3633,0.7603,48.72,4.66,193.8,0.1253,False,81.4,-86
NODE_001,2020-06-01T00:00:00+00:00,51.0634,-94.90497,25.57,62.55,29.22,0.3959,1.0705,47.36,4.05,190.8,0.1201,False,74.6,-92
NODE_002,2020-06-01T00:00:00+00:00,51.0634,-94.89172,25.67,61.13,29.81,0.3711,0.8086,49.14,3.69,194.3,0.1211,False,85.9,-107
NODE_003,2020-06-01T00:00:00+00:00,51.06363,-94.87676,25.8,60.69,30.23,0.4356,0.7933,47.74,5.57,198.8,0.1271,False,77.4,-72
NODE_004,2020-06-01T00:00:00+00:00,51.06335,-94.86222,25.81,60.88,29.62,0.3433,0.7951,49.79,4.59,190.0,0.1203,False,78.0,-102
NODE_005,2020-06-01T00:00:00+00:00,51.06358,-94.84734,25.49,60.04,29.32,0.4476,0.8999,49.46,6.47,192.9,0.1276,False,72.2,-97
NODE_006,2020-06-01T00:00:00+00:00,51.06379,-94.83352,25.43,60.77,29.49,0.3984,0.8222,49.94,4.22,194.9,0.1227,False,79.1,-69
NODE_007,2020-06-01T00:00:00+00:00,51.06309,-94.81974,25.06,60.52,28.12,0.3541,0.9492,50.56,4.7,201.4,0.1181,False,92.3,-101
NODE_008,2020-06-01T00:00:00+00:00,51.06358,-94.80423,25.56,62.15,29.64,0.3577,0.7756,47.79,3.72,193.6,0.118,False,95.4,-105
NODE_009,2020-06-01T00:00:00+00:00,51.06348,-94.79059,25.13,59.41,29.71,0.3928,0.9677,51.7,5.08,196.7,0.1228,False,91.2,-75
NODE_010,2020-06-01T00:00:00+00:00,51.07273,-94.92039,25.79,60.83,30.75,0.3261,0.6716,47.86,4.55,191.9,0.1188,False,73.8,-91
NODE_011,2020-06-01T00:00:00+00:00,51.07231,-94.90507,25.03,62.54,29.33,0.3837,0.7433,50.47,4.57,189.8,0.117,False,86.8,-84
NODE_012,2020-06-01T00:00:00+00:00,51.07291,-94.89109,26.31,60.5,30.8,0.3738,0.896,51.03,5.03,196.7,0.1253,False,75.4,-89
NODE_013,2020-06-01T00:00:00+00:00,51.07266,-94.8765,25.74,59.76,29.52,0.3308,0.8228,49.65,4.65,189.3,0.121,False,71.2,-80
NODE_014,2020-06-01T00:00:00+00:00,51.07286,-94.86283,25.79,62.58,29.55,0.3969,0.8391,47.74,5.12,193.4,0.1215,False,79.8,-106
NODE_015,2020-06-01T00:00:00+00:00,51.07275,-94.84868,25.98,60.6,29.83,0.3571,0.9214,48.56,5.03,192.3,0.1227,False,99.1,-99
NODE_016,2020-06-01T00:00:00+00:00,51.07116,-94.83388,24.65,59.38,29.48,0.4005,0.7423,50.93,3.47,197.5,0.1233,False,73.5,-74
NODE_017,2020-06-01T00:00:00+00:00,51.07201,-94.81879,25.69,61.06,29.3,0.4058,0.8631,46.59,5.56,190.6,0.124,False,75.9,-83
NODE_018,2020-06-01T00:00:00+00:00,51.0728,-94.80549,26.18,61.42,30.13,0.4162,0.8931,46.75,4.67,196.3,0.1262,False,82.3,-85
NODE_019,2020-06-01T00:00:00+00:00,51.07289,-94.79104,25.47,59.6,29.89,0.4396,0.7211,50.38,5.1,197.6,0.1275,False,82.2,-110
NODE_020,2020-06-01T00:00:00+00:00,51.08143,-94.91981,25.55,61.44,29.86,0.332,0.7808,50.15,4.53,188.7,0.1173,False,93.8,-60
NODE_021,2020-06-01T00:00:00+00:00,51.08153,-94.90491,25.6,59.32,29.61,0.4447,0.795,48.29,5.15,192.1,0.1291,False,79.3,-98
NODE_022,2020-06-01T00:00:00+00:00,51.0818,-94.89079,25.73,61.01,30.59,0.3829,0.8332,47.14,5.29,189.6,0.1228,False,91.6,-86
NODE_023,2020-06-01T00:00:00+00:00,51.0818,-94.87638,25.37,60.78,29.52,0.3862,0.8254,46.24,5.21,195.6,0.1219,False,75.3,-66
NODE_024,2020-06-01T00:00:00+00:00,51.08116,-94.86263,25.54,60.71,29.73,0.4679,0.6868,49.55,4.06,182.7,0.1286,False,87.9,-62
NODE_025,2020-06-01T00:00:00+00:00,51.08124,-94.84768,26.1,59.88,30.16,0.3437,0.8742,47.17,5.46,189.0,0.1236,False,84.2,-94
NODE_026,2020-06-01T00:00:00+00:00,51.08135,-94.83241,25.67,58.84,29.7,0.4578,0.7654,48.91,4.07,195.3,0.1314,False,77.0,-89
NODE_027,2020-06-01T00:00:00+00:00,51.08107,-94.81978,25.45,61.89,29.85,0.4106,0.7796,46.57,5.27,194.6,0.1221,False,86.3,-84
NODE_028,2020-06-01T00:00:00+00:00,51.08186,-94.80417,26.35,61.5,29.86,0.4308,0.8358,48.64,5.28,189.4,0.128,False,84.3,-88
NODE_029,2020-06-01T00:00:00+00:00,51.08173,-94.79012,25.52,61.74,30.42,0.3374,0.6921,48.11,5.13,184.9,0.1171,False,84.6,-93
NODE_030,2020-06-01T00:00:00+00:00,51.0912,-94.91971,25.56,60.88,29.33,0.4378,0.7802,49.23,4.54,193.4,0.1259,False,88.7,-109
NODE_031,2020-06-01T00:00:00+00:00,51.08978,-94.90558,26.1,60.03,30.16,0.3735,0.6773,50.07,4.96,195.8,0.1252,False,79.8,-81
NODE_032,2020-06-01T00:00:00+00:00,51.09096,-94.89169,25.35,62.25,28.92,0.4356,0.8545,47.81,4.89,193.4,0.123,False,86.2,-88
NODE_033,2020-06-01T00:00:00+00:00,51.0905,-94.87649,25.7,61.11,30.02,0.3881,0.8857,49.07,5.17,188.3,0.1231,False,77.2,-80
NODE_034,2020-06-01T00:00:00+00:00,51.09033,-94.86191,25.43,59.6,29.77,0.4529,0.833,47.97,4.15,188.9,0.129,False,73.4,-100
NODE_035,2020-06-01T00:00:00+00:00,51.09078,-94.84677,25.87,60.62,30.48,0.3977,0.7391,45.49,4.17,196.8,0.1254,False,72.3,-66
NODE_036,2020-06-01T00:00:00+00:00,51.0908,-94.83388,25.82,60.09,29.87,0.3592,0.7685,46.37,4.98,188.0,0.1232,False,71.2,-76
NODE_037,2020-06-01T00:00:00+00:00,51.09021,-94.81965,25.32,61.17,29.04,0.3882,0.9116,46.55,5.8,199.3,0.1212,False,89.1,-81
NODE_038,2020-06-01T00:00:00+00:00,51.09096,-94.80517,25.54,59.74,29.58,0.2847,0.804,51.47,4.24,191.9,0.1169,False,83.1,-64
NODE_039,2020-06-01T00:00:00+00:00,51.09045,-94.79016,25.35,60.3,29.55,0.4794,0.8038,50.33,4.8,187.8,0.1288,False,90.0,-89
NODE_040,2020-06-01T00:00:00+00:00,51.09913,-94.91981,26.42,61.13,30.72,0.4116,0.8419,47.42,5.37,188.8,0.1275,False,78.3,-110
NODE_041,2020-06-01T00:00:00+00:00,51.09857,-94.90586,25.4,60.7,29.6,0.4291,0.7669,48.4,4.02,193.9,0.1251,False,83.4,-109
NODE_042,2020-06-01T00:00:00+00:00,51.09921,-94.89076,25.91,61.14,29.93,0.3584,0.7465,48.0,4.28,192.2,0.1218,False,92.4,-89
