node_id,timestamp,latitude,longitude,temperature_c,humidity_pct,surface_temp_c,smoke_index,co_ppm,voc_index,wind_speed_kmh,wind_direction_deg,fire_risk,is_fire_event,battery_pct,signal_rssi
NODE_000,2024-07-01T00:00:00+00:00,43.95570630250898,-79.01619963863864,22.26,65.01,24.75,0.0906,0.4027,49.35,8.77,179.1,0.0968,False,75.98542645483668,-83
NODE_001,2024-07-01T00:00:00+00:00,43.95357622591499,-79.00280045450461,21.96,64.6,24.52,0.0579,0.3763,49.96,7.58,178.1,0.0932,False,76.45009529131632,-99
NODE_002,2024-07-01T00:00:00+00:00,43.9559226023196,-78.98461328902228,22.03,65.37,23.8,0.0859,0.4026,50.28,8.62,184.7,0.0954,False,87.11206777961748,-102
NODE_003,2024-07-01T00:00:00+00:00,43.95545187348863,-78.97854984454865,22.17,65.04,23.64,0.0933,0.3891,50.59,7.79,181.3,0.0952,False,91.4004338511176,-78
NODE_004,2024-07-01T00:00:00+00:00,43.953442763643125,-78.96250656016889,22.06,64.8,24.06,0.0544,0.3982,49.19,7.79,174.5,0.093,False,80.0693355784089,-78
NODE_005,2024-07-01T00:00:00+00:00,43.95528545626092,-78.94837558390195,21.53,65.08,23.72,0.086,0.3834,48.77,8.03,177.6,0.0949,False,71.96414408584552,-102
NODE_006,2024-07-01T00:00:00+00:00,43.95519242488479,-78.93959657012994,22.3,65.56,24.42,0.0683,0.3848,50.85,8.18,184.5,0.0929,False,83.21392270358447,-72
NODE_007,2024-07-01T00:00:00+00:00,43.95376271970354,-78.9221743482428,21.48,64.48,23.79,0.0665,0.4093,47.72,7.73,180.6,0.0945,False,86.80260013126033,-84
NODE_008,2024-07-01T00:00:00+00:00,43.95660966190377,-78.91093319443989,22.12,65.33,23.82,0.0738,0.4036,51.01,7.91,180.9,0.0935,False,99.21832998755109,-85
NODE_009,2024-07-01T00:00:00+00:00,43.95376504205995,-78.90203578704956,22.06,65.23,24.12,0.0924,0.3929,49.75,8.31,176.4,0.0956,False,91.80244694255246,-67
NODE_010,2024-07-01T00:00:00+00:00,43.96181881993171,-79.0135234938117,22.25,65.18,23.97,0.07,0.4067,51.21,7.91,184.0,0.0935,False,91.42660006135688,-70
NODE_011,2024-07-01T00:00:00+00:00,43.96584397340354,-78.99929714970727,22.06,64.99,24.13,0.0755,0.403,50.54,8.68,176.4,0.0956,False,74.22662920883256,-108
NODE_012,2024-07-01T00:00:00+00:00,43.96521933266288,-78.98729861166035,22.12,65.0,23.78,0.0804,0.4097,47.92,7.85,188.6,0.0946,False,75.03552243899344,-97
NODE_013,2024-07-01T00:00:00+00:00,43.96167190855368,-78.97661163142294,22.61,64.95,23.75,0.0779,0.4124,50.0,8.8,185.5,0.0961,False,86.52620182246136,-81
NODE_014,2024-07-01T00:00:00+00:00,43.96459299896216,-78.95980382102043,22.15,65.43,23.82,0.0935,0.3809,48.73,7.78,177.2,0.0943,False,77.0675725145114,-75
NODE_015,2024-07-01T00:00:00+00:00,43.962304800343226,-78.95321657968596,21.62,65.41,23.85,0.0918,0.3986,50.48,8.0,186.2,0.0947,False,79.29192225447812,-98
NODE_016,2024-07-01T00:00:00+00:00,43.96248039850838,-78.93905739313942,22.22,64.89,23.95,0.0741,0.4095,50.68,8.19,171.5,0.0949,False,95.16092109917209,-64
NODE_017,2024-07-01T00:00:00+00:00,43.96587357249655,-78.92218608296662,21.81,65.35,24.45,0.0763,0.4054,50.32,7.79,176.8,0.0934,False,75.01361715496486,-104
NODE_018,2024-07-01T00:00:00+00:00,43.962737272156026,-78.91140776694836,21.68,64.69,23.53,0.0907,0.4024,49.96,7.45,175.2,0.0952,False,77.92692255008197,-60
NODE_019,2024-07-01T00:00:00+00:00,43.96214333753422,-78.90097354501387,22.19,64.14,23.83,0.08,0.4133,48.29,8.29,179.2,0.0971,False,80.66348389140528,-86
NODE_021,2024-07-01T00:00:00+00:00,43.97065502790157,-78.99908051847746,21.73,64.92,23.69,0.0716,0.384,49.8,8.66,179.8,0.0953,False,99.05571092336886,-75
NODE_022,2024-07-01T00:00:00+00:00,43.97420955688959,-78.99008566267538,22.1,64.81,24.16,0.0767,0.3936,51.31,8.31,170.0,0.0954,False,84.16153517147855,-100
